id,category,kind,question,tool,mode,factual_correctness,evidence_grounding,no_hallucination,appropriate_uncertainty,overall_pass,reason,answer
A1,weak_experience,listing_weakest,Where is experience the weakest?,get_weakest_zones,llm,1,1,1,1,1,,"These are the 10 lowest-scoring areas nationwide, now highlighted on the map, mostly in Abu Dhabi with a couple in Sharjah and Dubai. Most sit in industrial or low-density areas, and many have limited public measurements, so treat the exact scores with some caution."
A2,weak_experience,listing_weakest,Show me the areas with the lowest experience.,get_weakest_zones,llm,1,1,1,1,1,,"These are the 10 lowest-scoring areas across the UAE, now highlighted on the map — mostly industrial zones plus a couple of residential ones, all performing well below similar-type areas. Several of these have limited public measurement data, so their scores are less certain, but the pattern of poor experience is consistent across all ten."
A3,weak_experience,listing_weakest,Which zones are performing worst?,get_weakest_zones,llm,1,1,1,1,1,,"These are the 10 lowest-scoring areas nationwide (no emirate filter applied), now highlighted on the map — mostly industrial zones across Abu Dhabi, Dubai and Sharjah, all scoring well below similar areas. Note that many of these have limited public measurements, so confidence in the exact scores varies from area to area."
A4,weak_experience,listing_weakest,What are the bottom 5 areas by experience?,get_weakest_zones,llm,1,1,1,1,1,,"These are the five areas with the lowest experience scores nationwide, and they're highlighted on the map. Most have low confidence due to limited public measurements, so treat the rankings as indicative rather than definitive — all of them are also performing noticeably worse than similar-type areas nearby."
A5,weak_experience,listing_weakest,Which zone has the lowest experience?,get_weakest_zones,llm,1,1,1,1,1,,"The map is highlighting Al Layan 1, Dubai — it has the lowest experience score among the areas reviewed (5.0), performing well below similar industrial areas. Note that confidence in this result is limited due to fewer public measurements there."
B1,deterioration,listing_deteriorating,Which areas have deteriorated?,get_deteriorating_zones,llm,1,1,1,1,1,,"This covers all emirates, and these areas are highlighted on the map as showing declining network experience in the latest quarter. Some, like Hamriya Free Zone and Tallah 2 in Sharjah and Al Mafraq in Abu Dhabi, stand out as higher-priority since they combine a bigger drop with a large number of people affected, while a few others have limited public measurements so their results are less certain."
B2,deterioration,listing_deteriorating,Where is experience getting worse?,get_deteriorating_zones,llm,1,1,1,1,1,,"This covers all emirates. Experience is declining across these areas, now highlighted on the map — some, like Al Mafraq and Hamriya Free Zone, stand out with lower scores, larger gaps versus similar areas, and higher numbers of people affected, making them the most pressing to watch."
B3,deterioration,listing_deteriorating,Which zones declined compared with last quarter?,get_deteriorating_zones,llm,1,1,1,1,1,,"Across the UAE, these areas showed a decline in network experience compared with last quarter, and they're highlighted on the map. A few of them — including Al Mafraq, Bain al Jisrain, Tallah 2, and Hamriya Free Zone — stand out as higher priority, meaning both the drop and the number of people affected are significant."
B4,deterioration,listing_deteriorating,Show persistent deterioration.,get_deteriorating_zones,llm,1,1,1,1,1,,"These areas are highlighted on the map because they've all shown a steady decline in network experience over recent quarters, covering Abu Dhabi, Fujairah, Ras Al Khaimah, and Sharjah. Some of them — like Al Mafraq, Tallah 2, and Hamriya Free Zone — also stand out as higher-priority, since they combine this ongoing decline with larger numbers of people affected and worse performance than similar areas nearby."
B5,deterioration,listing_deteriorating,Which area deteriorated the most?,get_deteriorating_zones,llm,1,1,1,1,1,,"The area that declined the most is Sayh Al Diyar, Fujairah, now highlighted on the map. Its experience score has dropped to 24.1, and confidence in this reading is limited since there aren't many public measurements there yet."
C1,peer_unusual,listing_anomalous,Which areas behave unusually relative to their peers?,get_anomalous_zones,llm,1,1,1,1,1,,"These areas across Abu Dhabi, Dubai, Sharjah, and Ras Al Khaimah are highlighted on the map because their network experience is notably different from other similar areas — some are performing much better than expected, while others (like Badrah, Jumeirah Golf Estates, Gardenia Townhomes, and Hamriya Free Zone) are performing significantly worse, with the latter also affecting larger numbers of people and flagged as higher priority to address."
C2,peer_unusual,listing_anomalous,Show the biggest peer gaps.,get_anomalous_zones,llm,1,1,1,1,1,,"These areas are highlighted across Abu Dhabi, Dubai, Sharjah, and Ras Al Khaimah because they show the biggest differences from similar areas — some performing much better than expected (like Madinat Al Riyad and Al Nahyan Camp), but most performing much worse than similar areas nearby (like Zayed Military City, Hamriya Free Zone, and Badrah). Zones like Gardenia Townhomes and Hamriya Free Zone are especially notable since they combine a large gap with a high number of people affected."
C3,peer_unusual,listing_anomalous,Which zones underperform comparable areas?,get_anomalous_zones,llm,1,1,1,1,1,,"These areas are highlighted on the map because they're scoring noticeably worse than other zones with similar characteristics (like similar density or land use type), based on nationwide data across all emirates. Some also affect large numbers of people and are flagged as priority zones for attention, while others show a gap but with less reliable data behind them."
C4,peer_unusual,listing_anomalous,Which areas are anomalous compared to their own history?,get_anomalous_zones,llm,1,1,1,1,1,,"These areas (highlighted on the map, across Abu Dhabi, Dubai, Sharjah and Ras Al Khaimah) recently showed unusual changes in network experience compared to their own recent past, rather than being compared to other areas. Some of these — like Bain al Jisrain, Jumeirah Golf Estates, Gardenia Townhomes, and Al Mafraq — are flagged as priority zones, meaning the unusual shift combined with the number of people affected makes them worth a closer look first."
D1,population_weak,listing_high_pop_weak,Where do weak experience and high population exposure occur together?,get_high_population_weak_zones,llm,1,1,1,1,1,,"These areas, spread across Dubai, Sharjah and Ajman, are highlighted on the map because they combine low network experience scores with large numbers of people living there — meaning problems in these zones affect a lot of residents at once. Most are also scoring worse than similar areas nearby, which is why several are flagged as priority zones for attention."
